image_path,label,label_encoded
dataset\unhealthy\0020_0107.JPG,unhealthy,1
dataset\unhealthy\0020_0258.JPG,unhealthy,1
dataset\unhealthy\0022_0048.JPG,unhealthy,1
dataset\healthy\0009_0170.JPG,healthy,0
dataset\unhealthy\0020_0199.JPG,unhealthy,1
dataset\unhealthy\0017_0097.JPG,unhealthy,1
dataset\unhealthy\0019_0203.JPG,unhealthy,1
dataset\unhealthy\0014_0019.JPG,unhealthy,1
dataset\healthy\0001_0130.JPG,healthy,0
dataset\unhealthy\0020_0043.JPG,unhealthy,1
dataset\unhealthy\0012_0232.JPG,unhealthy,1
dataset\unhealthy\0012_0111.JPG,unhealthy,1
dataset\healthy\0009_0008.JPG,healthy,0
dataset\unhealthy\0022_0019.JPG,unhealthy,1
dataset\healthy\0005_0207.JPG,healthy,0
dataset\unhealthy\0019_0145.JPG,unhealthy,1
dataset\healthy\0001_0159.JPG,healthy,0
dataset\healthy\0007_0233.JPG,healthy,0
dataset\unhealthy\0017_0116.JPG,unhealthy,1
dataset\unhealthy\0012_0220.JPG,unhealthy,1
dataset\healthy\0004_0123.JPG,healthy,0
dataset\healthy\0009_0212.JPG,healthy,0
dataset\healthy\0003_0045.JPG,healthy,0
dataset\healthy\0001_0117.JPG,healthy,0
dataset\unhealthy\0017_0239.JPG,unhealthy,1
dataset\unhealthy\0012_0173.JPG,unhealthy,1
dataset\unhealthy\0018_0032.JPG,unhealthy,1
dataset\unhealthy\0018_0042.JPG,unhealthy,1
dataset\healthy\0005_0273.JPG,healthy,0
dataset\healthy\0003_0105.JPG,healthy,0
dataset\healthy\0001_0021.JPG,healthy,0
dataset\healthy\0005_0166.JPG,healthy,0
dataset\unhealthy\0017_0018.JPG,unhealthy,1
dataset\healthy\0001_0165.JPG,healthy,0
dataset\healthy\0007_0304.JPG,healthy,0
dataset\unhealthy\0015_0015.JPG,unhealthy,1
dataset\healthy\0005_0100.JPG,healthy,0
dataset\healthy\0003_0091.JPG,healthy,0
dataset\healthy\0007_0279.JPG,healthy,0
dataset\healthy\0002_0101.JPG,healthy,0
dataset\healthy\0001_0109.JPG,healthy,0
dataset\unhealthy\0017_0190.JPG,unhealthy,1
dataset\unhealthy\0017_0210.JPG,unhealthy,1
dataset\healthy\0010_0151.JPG,healthy,0
dataset\unhealthy\0019_0043.JPG,unhealthy,1
dataset\unhealthy\0012_0091.JPG,unhealthy,1
dataset\healthy\0010_0040.JPG,healthy,0
dataset\healthy\0007_0060.JPG,healthy,0
dataset\healthy\0010_0058.JPG,healthy,0
dataset\healthy\0009_0176.JPG,healthy,0
dataset\unhealthy\0017_0242.JPG,unhealthy,1
dataset\healthy\0006_0097.JPG,healthy,0
dataset\healthy\0002_0162.JPG,healthy,0
dataset\healthy\0007_0039.JPG,healthy,0
dataset\unhealthy\0012_0062.JPG,unhealthy,1
dataset\healthy\0007_0243.JPG,healthy,0
dataset\healthy\0007_0091.JPG,healthy,0
dataset\unhealthy\0014_0159.JPG,unhealthy,1
dataset\healthy\0007_0318.JPG,healthy,0
dataset\healthy\0007_0290.JPG,healthy,0
dataset\healthy\0003_0119.JPG,healthy,0
dataset\healthy\0001_0052.JPG,healthy,0
dataset\healthy\0007_0068.JPG,healthy,0
dataset\healthy\0003_0097.JPG,healthy,0
dataset\healthy\0005_0059.JPG,healthy,0
dataset\unhealthy\0019_0129.JPG,unhealthy,1
dataset\healthy\0004_0125.JPG,healthy,0
dataset\unhealthy\0020_0238.JPG,unhealthy,1
dataset\unhealthy\0022_0041.JPG,unhealthy,1
dataset\unhealthy\0019_0036.JPG,unhealthy,1
dataset\healthy\0003_0053.JPG,healthy,0
dataset\unhealthy\0022_0049.JPG,unhealthy,1
dataset\healthy\0001_0100.JPG,healthy,0
dataset\unhealthy\0012_0171.JPG,unhealthy,1
dataset\unhealthy\0017_0205.JPG,unhealthy,1
dataset\unhealthy\0022_0036.JPG,unhealthy,1
dataset\healthy\0007_0029.JPG,healthy,0
dataset\healthy\0007_0059.JPG,healthy,0
dataset\unhealthy\0015_0119.JPG,unhealthy,1
dataset\unhealthy\0019_0167.JPG,unhealthy,1
dataset\unhealthy\0017_0149.JPG,unhealthy,1
dataset\unhealthy\0019_0178.JPG,unhealthy,1
dataset\healthy\0002_0078.JPG,healthy,0
dataset\healthy\0005_0239.JPG,healthy,0
dataset\healthy\0005_0077.JPG,healthy,0
dataset\healthy\0005_0076.JPG,healthy,0
dataset\unhealthy\0022_0050.JPG,unhealthy,1
dataset\unhealthy\0020_0110.JPG,unhealthy,1
dataset\unhealthy\0019_0123.JPG,unhealthy,1
dataset\unhealthy\0020_0027.JPG,unhealthy,1
dataset\healthy\0003_0125.JPG,healthy,0
dataset\unhealthy\0019_0200.JPG,unhealthy,1
dataset\unhealthy\0017_0213.JPG,unhealthy,1
dataset\healthy\0006_0102.JPG,healthy,0
dataset\unhealthy\0018_0114.JPG,unhealthy,1
dataset\healthy\0002_0192.JPG,healthy,0
dataset\unhealthy\0014_0041.JPG,unhealthy,1
dataset\unhealthy\0022_0094.JPG,unhealthy,1
dataset\healthy\0006_0008.JPG,healthy,0
dataset\healthy\0003_0154.JPG,healthy,0
dataset\unhealthy\0012_0006.JPG,unhealthy,1
dataset\unhealthy\0015_0023.JPG,unhealthy,1
dataset\unhealthy\0014_0166.JPG,unhealthy,1
dataset\unhealthy\0014_0057.JPG,unhealthy,1
dataset\healthy\0007_0322.JPG,healthy,0
dataset\unhealthy\0020_0064.JPG,unhealthy,1
dataset\healthy\0004_0199.JPG,healthy,0
dataset\unhealthy\0017_0228.JPG,unhealthy,1
dataset\unhealthy\0022_0068.JPG,unhealthy,1
dataset\healthy\0007_0176.JPG,healthy,0
dataset\unhealthy\0014_0241.JPG,unhealthy,1
dataset\healthy\0004_0243.JPG,healthy,0
dataset\healthy\0007_0203.JPG,healthy,0
dataset\unhealthy\0014_0136.JPG,unhealthy,1
dataset\unhealthy\0017_0179.JPG,unhealthy,1
dataset\healthy\0007_0312.JPG,healthy,0
dataset\unhealthy\0019_0152.JPG,unhealthy,1
dataset\unhealthy\0017_0103.JPG,unhealthy,1
dataset\healthy\0007_0193.JPG,healthy,0
dataset\unhealthy\0021_0076.JPG,unhealthy,1
dataset\unhealthy\0014_0222.JPG,unhealthy,1
dataset\healthy\0006_0043.JPG,healthy,0
dataset\unhealthy\0019_0084.JPG,unhealthy,1
dataset\healthy\0001_0110.JPG,healthy,0
dataset\unhealthy\0014_0018.JPG,unhealthy,1
dataset\unhealthy\0019_0040.JPG,unhealthy,1
dataset\healthy\0004_0062.JPG,healthy,0
dataset\unhealthy\0014_0135.JPG,unhealthy,1
dataset\unhealthy\0019_0098.JPG,unhealthy,1
dataset\unhealthy\0022_0025.JPG,unhealthy,1
dataset\healthy\0003_0159.JPG,healthy,0
dataset\unhealthy\0017_0334.JPG,unhealthy,1
dataset\healthy\0003_0122.JPG,healthy,0
dataset\unhealthy\0020_0001.JPG,unhealthy,1
dataset\healthy\0006_0107.JPG,healthy,0
dataset\healthy\0010_0153.JPG,healthy,0
dataset\unhealthy\0017_0060.JPG,unhealthy,1
dataset\healthy\0003_0086.JPG,healthy,0
dataset\unhealthy\0019_0226.JPG,unhealthy,1
dataset\healthy\0001_0166.JPG,healthy,0
dataset\unhealthy\0014_0247.JPG,unhealthy,1
dataset\unhealthy\0021_0048.JPG,unhealthy,1
dataset\unhealthy\0014_0042.JPG,unhealthy,1
dataset\healthy\0002_0035.JPG,healthy,0
dataset\unhealthy\0020_0104.JPG,unhealthy,1
dataset\healthy\0009_0058.JPG,healthy,0
dataset\unhealthy\0012_0151.JPG,unhealthy,1
dataset\healthy\0004_0206.JPG,healthy,0
dataset\healthy\0003_0133.JPG,healthy,0
dataset\healthy\0004_0231.JPG,healthy,0
dataset\healthy\0002_0186.JPG,healthy,0
dataset\unhealthy\0017_0275.JPG,unhealthy,1
dataset\unhealthy\0014_0234.JPG,unhealthy,1
dataset\healthy\0001_0029.JPG,healthy,0
dataset\unhealthy\0017_0261.JPG,unhealthy,1
dataset\unhealthy\0017_0055.JPG,unhealthy,1
dataset\unhealthy\0018_0052.JPG,unhealthy,1
dataset\unhealthy\0014_0206.JPG,unhealthy,1
dataset\unhealthy\0017_0023.JPG,unhealthy,1
dataset\healthy\0010_0096.JPG,healthy,0
dataset\healthy\0007_0019.JPG,healthy,0
dataset\healthy\0001_0047.JPG,healthy,0
dataset\healthy\0002_0073.JPG,healthy,0
dataset\unhealthy\0014_0138.JPG,unhealthy,1
dataset\healthy\0003_0130.JPG,healthy,0
dataset\healthy\0002_0074.JPG,healthy,0
dataset\unhealthy\0020_0174.JPG,unhealthy,1
dataset\unhealthy\0022_0017.JPG,unhealthy,1
dataset\healthy\0006_0112.JPG,healthy,0
dataset\unhealthy\0020_0244.JPG,unhealthy,1
dataset\unhealthy\0020_0126.JPG,unhealthy,1
dataset\healthy\0005_0276.JPG,healthy,0
dataset\unhealthy\0017_0091.JPG,unhealthy,1
dataset\unhealthy\0017_0082.JPG,unhealthy,1
dataset\unhealthy\0017_0316.JPG,unhealthy,1
dataset\unhealthy\0020_0169.JPG,unhealthy,1
dataset\healthy\0001_0097.JPG,healthy,0
dataset\healthy\0001_0026.JPG,healthy,0
dataset\healthy\0009_0265.JPG,healthy,0
dataset\unhealthy\0012_0226.JPG,unhealthy,1
dataset\healthy\0002_0099.JPG,healthy,0
dataset\unhealthy\0019_0196.JPG,unhealthy,1
dataset\healthy\0007_0042.JPG,healthy,0
dataset\healthy\0007_0138.JPG,healthy,0
dataset\unhealthy\0021_0052.JPG,unhealthy,1
dataset\unhealthy\0021_0044.JPG,unhealthy,1
dataset\unhealthy\0019_0073.JPG,unhealthy,1
dataset\healthy\0007_0229.JPG,healthy,0
dataset\unhealthy\0014_0109.JPG,unhealthy,1
dataset\healthy\0004_0084.JPG,healthy,0
dataset\unhealthy\0014_0075.JPG,unhealthy,1
dataset\healthy\0009_0038.JPG,healthy,0
dataset\unhealthy\0017_0246.JPG,unhealthy,1
dataset\unhealthy\0020_0088.JPG,unhealthy,1
dataset\healthy\0009_0192.JPG,healthy,0
dataset\healthy\0011_0083.JPG,healthy,0
dataset\unhealthy\0022_0090.JPG,unhealthy,1
dataset\healthy\0001_0034.JPG,healthy,0
dataset\healthy\0002_0105.JPG,healthy,0
dataset\healthy\0004_0094.JPG,healthy,0
dataset\unhealthy\0012_0020.JPG,unhealthy,1
dataset\unhealthy\0017_0036.JPG,unhealthy,1
dataset\healthy\0010_0035.JPG,healthy,0
dataset\healthy\0003_0168.JPG,healthy,0
dataset\healthy\0002_0129.JPG,healthy,0
dataset\unhealthy\0018_0038.JPG,unhealthy,1
dataset\unhealthy\0021_0014.JPG,unhealthy,1
dataset\unhealthy\0019_0202.JPG,unhealthy,1
dataset\unhealthy\0012_0233.JPG,unhealthy,1
dataset\healthy\0003_0042.JPG,healthy,0
dataset\unhealthy\0022_0007.JPG,unhealthy,1
dataset\unhealthy\0012_0255.JPG,unhealthy,1
dataset\healthy\0005_0050.JPG,healthy,0
dataset\healthy\0007_0014.JPG,healthy,0
dataset\unhealthy\0022_0117.JPG,unhealthy,1
dataset\healthy\0009_0021.JPG,healthy,0
dataset\unhealthy\0012_0156.JPG,unhealthy,1
dataset\healthy\0010_0045.JPG,healthy,0
dataset\unhealthy\0017_0166.JPG,unhealthy,1
dataset\healthy\0004_0033.JPG,healthy,0
dataset\healthy\0004_0257.JPG,healthy,0
dataset\healthy\0010_0122.JPG,healthy,0
dataset\healthy\0010_0109.JPG,healthy,0
dataset\healthy\0011_0093.JPG,healthy,0
dataset\healthy\0001_0103.JPG,healthy,0
dataset\healthy\0010_0152.JPG,healthy,0
dataset\unhealthy\0017_0048.JPG,unhealthy,1
dataset\healthy\0011_0041.JPG,healthy,0
dataset\unhealthy\0012_0109.JPG,unhealthy,1
dataset\unhealthy\0020_0123.JPG,unhealthy,1
dataset\healthy\0006_0086.JPG,healthy,0
dataset\healthy\0004_0104.JPG,healthy,0
dataset\healthy\0009_0246.JPG,healthy,0
dataset\healthy\0007_0078.JPG,healthy,0
dataset\healthy\0004_0149.JPG,healthy,0
dataset\unhealthy\0012_0163.JPG,unhealthy,1
dataset\healthy\0010_0080.JPG,healthy,0
dataset\healthy\0005_0208.JPG,healthy,0
dataset\unhealthy\0012_0011.JPG,unhealthy,1
dataset\healthy\0002_0182.JPG,healthy,0
dataset\unhealthy\0019_0258.JPG,unhealthy,1
dataset\unhealthy\0012_0079.JPG,unhealthy,1
dataset\unhealthy\0014_0072.JPG,unhealthy,1
dataset\unhealthy\0017_0227.JPG,unhealthy,1
dataset\healthy\0001_0042.JPG,healthy,0
dataset\unhealthy\0012_0009.JPG,unhealthy,1
dataset\unhealthy\0021_0063.JPG,unhealthy,1
dataset\unhealthy\0012_0136.JPG,unhealthy,1
dataset\healthy\0005_0014.JPG,healthy,0
dataset\healthy\0010_0093.JPG,healthy,0
dataset\unhealthy\0022_0108.JPG,unhealthy,1
dataset\healthy\0005_0016.JPG,healthy,0
dataset\healthy\0007_0211.JPG,healthy,0
dataset\unhealthy\0015_0060.JPG,unhealthy,1
dataset\healthy\0005_0102.JPG,healthy,0
dataset\healthy\0009_0129.JPG,healthy,0
dataset\unhealthy\0018_0010.JPG,unhealthy,1
dataset\unhealthy\0019_0045.JPG,unhealthy,1
dataset\healthy\0007_0299.JPG,healthy,0
dataset\unhealthy\0018_0061.JPG,unhealthy,1
dataset\unhealthy\0017_0084.JPG,unhealthy,1
dataset\unhealthy\0015_0005.JPG,unhealthy,1
dataset\healthy\0005_0137.JPG,healthy,0
dataset\unhealthy\0014_0133.JPG,unhealthy,1
dataset\unhealthy\0021_0064.JPG,unhealthy,1
dataset\unhealthy\0020_0044.JPG,unhealthy,1
dataset\unhealthy\0014_0221.JPG,unhealthy,1
dataset\healthy\0005_0010.JPG,healthy,0
dataset\unhealthy\0019_0189.JPG,unhealthy,1
dataset\healthy\0006_0042.JPG,healthy,0
dataset\healthy\0007_0262.JPG,healthy,0
dataset\healthy\0002_0018.JPG,healthy,0
dataset\unhealthy\0017_0263.JPG,unhealthy,1
dataset\healthy\0002_0092.JPG,healthy,0
dataset\healthy\0002_0156.JPG,healthy,0
dataset\healthy\0005_0045.JPG,healthy,0
dataset\unhealthy\0017_0015.JPG,unhealthy,1
dataset\unhealthy\0015_0029.JPG,unhealthy,1
dataset\healthy\0001_0013.JPG,healthy,0
dataset\healthy\0004_0258.JPG,healthy,0
dataset\unhealthy\0014_0058.JPG,unhealthy,1
dataset\healthy\0005_0219.JPG,healthy,0
dataset\healthy\0007_0220.JPG,healthy,0
dataset\healthy\0004_0108.JPG,healthy,0
dataset\unhealthy\0018_0028.JPG,unhealthy,1
dataset\unhealthy\0015_0067.JPG,unhealthy,1
dataset\healthy\0001_0132.JPG,healthy,0
dataset\healthy\0005_0252.JPG,healthy,0
dataset\unhealthy\0014_0043.JPG,unhealthy,1
dataset\unhealthy\0014_0090.JPG,unhealthy,1
dataset\unhealthy\0020_0229.JPG,unhealthy,1
dataset\healthy\0009_0272.JPG,healthy,0
dataset\unhealthy\0022_0070.JPG,unhealthy,1
dataset\healthy\0004_0202.JPG,healthy,0
dataset\unhealthy\0017_0202.JPG,unhealthy,1
dataset\healthy\0004_0047.JPG,healthy,0
dataset\unhealthy\0015_0038.JPG,unhealthy,1
dataset\healthy\0004_0107.JPG,healthy,0
dataset\healthy\0005_0165.JPG,healthy,0
dataset\healthy\0005_0141.JPG,healthy,0
dataset\healthy\0010_0009.JPG,healthy,0
dataset\healthy\0005_0246.JPG,healthy,0
dataset\healthy\0006_0065.JPG,healthy,0
dataset\healthy\0007_0076.JPG,healthy,0
dataset\healthy\0010_0061.JPG,healthy,0
dataset\unhealthy\0017_0131.JPG,unhealthy,1
dataset\unhealthy\0017_0220.JPG,unhealthy,1
dataset\healthy\0006_0087.JPG,healthy,0
dataset\healthy\0004_0163.JPG,healthy,0
dataset\unhealthy\0021_0038.JPG,unhealthy,1
dataset\healthy\0007_0066.JPG,healthy,0
dataset\healthy\0003_0140.JPG,healthy,0
dataset\healthy\0010_0149.JPG,healthy,0
dataset\healthy\0004_0244.JPG,healthy,0
dataset\healthy\0001_0067.JPG,healthy,0
dataset\unhealthy\0020_0142.JPG,unhealthy,1
dataset\unhealthy\0020_0225.JPG,unhealthy,1
dataset\healthy\0010_0020.JPG,healthy,0
dataset\healthy\0009_0070.JPG,healthy,0
dataset\healthy\0002_0142.JPG,healthy,0
dataset\healthy\0010_0078.JPG,healthy,0
dataset\healthy\0004_0122.JPG,healthy,0
dataset\unhealthy\0020_0087.JPG,unhealthy,1
dataset\unhealthy\0012_0001.JPG,unhealthy,1
dataset\unhealthy\0014_0114.JPG,unhealthy,1
dataset\healthy\0002_0153.JPG,healthy,0
dataset\healthy\0002_0085.JPG,healthy,0
dataset\healthy\0003_0075.JPG,healthy,0
dataset\healthy\0010_0129.JPG,healthy,0
dataset\unhealthy\0014_0172.JPG,unhealthy,1
dataset\unhealthy\0022_0031.JPG,unhealthy,1
dataset\unhealthy\0017_0101.JPG,unhealthy,1
dataset\healthy\0007_0266.JPG,healthy,0
dataset\unhealthy\0015_0007.JPG,unhealthy,1
dataset\healthy\0006_0127.JPG,healthy,0
dataset\healthy\0010_0032.JPG,healthy,0
dataset\unhealthy\0021_0026.JPG,unhealthy,1
dataset\unhealthy\0021_0033.JPG,unhealthy,1
dataset\unhealthy\0015_0093.JPG,unhealthy,1
dataset\unhealthy\0017_0089.JPG,unhealthy,1
dataset\healthy\0002_0149.JPG,healthy,0
dataset\healthy\0002_0145.JPG,healthy,0
dataset\healthy\0009_0142.JPG,healthy,0
dataset\unhealthy\0014_0115.JPG,unhealthy,1
dataset\unhealthy\0019_0241.JPG,unhealthy,1
dataset\healthy\0004_0268.JPG,healthy,0
dataset\unhealthy\0012_0260.JPG,unhealthy,1
dataset\unhealthy\0012_0061.JPG,unhealthy,1
dataset\healthy\0001_0115.JPG,healthy,0
dataset\healthy\0003_0102.JPG,healthy,0
dataset\healthy\0007_0157.JPG,healthy,0
dataset\healthy\0006_0098.JPG,healthy,0
dataset\healthy\0002_0122.JPG,healthy,0
dataset\healthy\0007_0314.JPG,healthy,0
dataset\unhealthy\0012_0005.JPG,unhealthy,1
dataset\healthy\0006_0076.JPG,healthy,0
dataset\unhealthy\0015_0101.JPG,unhealthy,1
dataset\healthy\0003_0001.JPG,healthy,0
dataset\healthy\0004_0143.JPG,healthy,0
dataset\healthy\0003_0137.JPG,healthy,0
dataset\unhealthy\0020_0122.JPG,unhealthy,1
dataset\unhealthy\0021_0007.JPG,unhealthy,1
dataset\healthy\0011_0069.JPG,healthy,0
dataset\healthy\0004_0029.JPG,healthy,0
dataset\unhealthy\0012_0054.JPG,unhealthy,1
dataset\unhealthy\0012_0259.JPG,unhealthy,1
dataset\unhealthy\0020_0017.JPG,unhealthy,1
dataset\unhealthy\0017_0326.JPG,unhealthy,1
dataset\healthy\0009_0041.JPG,healthy,0
dataset\healthy\0007_0269.JPG,healthy,0
dataset\healthy\0005_0146.JPG,healthy,0
dataset\healthy\0006_0040.JPG,healthy,0
dataset\healthy\0001_0059.JPG,healthy,0
dataset\healthy\0006_0082.JPG,healthy,0
dataset\unhealthy\0020_0021.JPG,unhealthy,1
dataset\unhealthy\0012_0212.JPG,unhealthy,1
dataset\healthy\0004_0067.JPG,healthy,0
dataset\unhealthy\0017_0070.JPG,unhealthy,1
dataset\unhealthy\0020_0002.JPG,unhealthy,1
dataset\healthy\0011_0098.JPG,healthy,0
dataset\healthy\0005_0260.JPG,healthy,0
dataset\unhealthy\0014_0143.JPG,unhealthy,1
dataset\healthy\0002_0057.JPG,healthy,0
dataset\unhealthy\0022_0105.JPG,unhealthy,1
dataset\healthy\0003_0007.JPG,healthy,0
dataset\unhealthy\0017_0211.JPG,unhealthy,1
dataset\healthy\0011_0004.JPG,healthy,0
dataset\unhealthy\0019_0127.JPG,unhealthy,1
dataset\unhealthy\0012_0045.JPG,unhealthy,1
dataset\healthy\0002_0115.JPG,healthy,0
dataset\healthy\0010_0051.JPG,healthy,0
dataset\healthy\0011_0012.JPG,healthy,0
dataset\healthy\0004_0153.JPG,healthy,0
dataset\healthy\0004_0138.JPG,healthy,0
dataset\healthy\0004_0068.JPG,healthy,0
dataset\unhealthy\0012_0168.JPG,unhealthy,1
dataset\healthy\0010_0012.JPG,healthy,0
dataset\healthy\0003_0044.JPG,healthy,0
dataset\healthy\0009_0140.JPG,healthy,0
dataset\unhealthy\0015_0122.JPG,unhealthy,1
dataset\unhealthy\0019_0259.JPG,unhealthy,1
dataset\healthy\0002_0003.JPG,healthy,0
dataset\healthy\0007_0293.JPG,healthy,0
dataset\healthy\0002_0064.JPG,healthy,0
dataset\healthy\0009_0243.JPG,healthy,0
dataset\unhealthy\0020_0098.JPG,unhealthy,1
dataset\unhealthy\0014_0185.JPG,unhealthy,1
dataset\unhealthy\0015_0025.JPG,unhealthy,1
dataset\unhealthy\0020_0236.JPG,unhealthy,1
dataset\healthy\0010_0030.JPG,healthy,0
dataset\unhealthy\0017_0171.JPG,unhealthy,1
dataset\unhealthy\0012_0147.JPG,unhealthy,1
dataset\healthy\0009_0122.JPG,healthy,0
dataset\unhealthy\0012_0003.JPG,unhealthy,1
dataset\healthy\0007_0152.JPG,healthy,0
dataset\healthy\0004_0088.JPG,healthy,0
dataset\unhealthy\0017_0008.JPG,unhealthy,1
dataset\healthy\0005_0182.JPG,healthy,0
dataset\unhealthy\0018_0083.JPG,unhealthy,1
dataset\unhealthy\0022_0081.JPG,unhealthy,1
dataset\healthy\0007_0121.JPG,healthy,0
dataset\healthy\0011_0040.JPG,healthy,0
dataset\unhealthy\0017_0125.JPG,unhealthy,1
dataset\unhealthy\0019_0006.JPG,unhealthy,1
dataset\healthy\0009_0065.JPG,healthy,0
dataset\unhealthy\0020_0246.JPG,unhealthy,1
dataset\unhealthy\0018_0014.JPG,unhealthy,1
dataset\unhealthy\0017_0255.JPG,unhealthy,1
dataset\unhealthy\0014_0214.JPG,unhealthy,1
dataset\healthy\0007_0118.JPG,healthy,0
dataset\healthy\0004_0100.JPG,healthy,0
dataset\healthy\0003_0170.JPG,healthy,0
dataset\unhealthy\0017_0148.JPG,unhealthy,1
dataset\unhealthy\0018_0105.JPG,unhealthy,1
dataset\healthy\0001_0055.JPG,healthy,0
dataset\unhealthy\0020_0218.JPG,unhealthy,1
dataset\healthy\0009_0228.JPG,healthy,0
dataset\unhealthy\0014_0034.JPG,unhealthy,1
dataset\healthy\0001_0094.JPG,healthy,0
dataset\healthy\0010_0133.JPG,healthy,0
dataset\unhealthy\0020_0138.JPG,unhealthy,1
dataset\unhealthy\0012_0184.JPG,unhealthy,1
dataset\unhealthy\0018_0101.JPG,unhealthy,1
dataset\healthy\0004_0012.JPG,healthy,0
dataset\unhealthy\0017_0277.JPG,unhealthy,1
dataset\healthy\0009_0202.JPG,healthy,0
dataset\unhealthy\0014_0103.JPG,unhealthy,1
dataset\unhealthy\0019_0251.JPG,unhealthy,1
dataset\healthy\0004_0214.JPG,healthy,0
dataset\unhealthy\0020_0014.JPG,unhealthy,1
dataset\unhealthy\0012_0201.JPG,unhealthy,1
dataset\unhealthy\0019_0128.JPG,unhealthy,1
dataset\healthy\0010_0049.JPG,healthy,0
dataset\healthy\0002_0066.JPG,healthy,0
dataset\unhealthy\0014_0068.JPG,unhealthy,1
dataset\healthy\0003_0104.JPG,healthy,0
dataset\unhealthy\0018_0109.JPG,unhealthy,1
dataset\unhealthy\0018_0070.JPG,unhealthy,1
dataset\unhealthy\0020_0040.JPG,unhealthy,1
dataset\healthy\0007_0246.JPG,healthy,0
dataset\unhealthy\0012_0231.JPG,unhealthy,1
dataset\healthy\0003_0031.JPG,healthy,0
dataset\healthy\0006_0118.JPG,healthy,0
dataset\healthy\0009_0247.JPG,healthy,0
dataset\unhealthy\0020_0051.JPG,unhealthy,1
dataset\healthy\0004_0274.JPG,healthy,0
dataset\unhealthy\0018_0059.JPG,unhealthy,1
dataset\unhealthy\0014_0144.JPG,unhealthy,1
dataset\unhealthy\0020_0035.JPG,unhealthy,1
dataset\unhealthy\0014_0015.JPG,unhealthy,1
dataset\unhealthy\0012_0089.JPG,unhealthy,1
dataset\unhealthy\0019_0155.JPG,unhealthy,1
dataset\healthy\0002_0202.JPG,healthy,0
dataset\healthy\0010_0036.JPG,healthy,0
dataset\unhealthy\0019_0108.JPG,unhealthy,1
dataset\healthy\0009_0147.JPG,healthy,0
dataset\healthy\0009_0015.JPG,healthy,0
dataset\healthy\0009_0076.JPG,healthy,0
dataset\healthy\0009_0256.JPG,healthy,0
dataset\unhealthy\0020_0067.JPG,unhealthy,1
dataset\healthy\0005_0218.JPG,healthy,0
dataset\unhealthy\0012_0186.JPG,unhealthy,1
dataset\healthy\0007_0331.JPG,healthy,0
dataset\healthy\0006_0115.JPG,healthy,0
dataset\healthy\0007_0101.JPG,healthy,0
dataset\unhealthy\0021_0053.JPG,unhealthy,1
dataset\healthy\0003_0067.JPG,healthy,0
dataset\healthy\0010_0138.JPG,healthy,0
dataset\healthy\0009_0193.JPG,healthy,0
dataset\unhealthy\0014_0150.JPG,unhealthy,1
dataset\healthy\0002_0086.JPG,healthy,0
dataset\unhealthy\0018_0094.JPG,unhealthy,1
